"x","y"
254.317111459969,206.25
284.14442700157,204.6875
312.401883830455,217.1875
351.648351648352,234.375
392.464678178964,214.0625
419.152276295133,184.375
453.689167974882,184.375
481.946624803768,201.5625
477.23704866562,271.875
464.678178963893,292.1875
444.270015698587,315.625
419.152276295133,323.4375
406.593406593407,321.875
390.894819466248,304.6875
334.379905808477,300
315.541601255887,312.5
293.563579277865,323.4375
270.015698587127,314.0625
252.747252747253,296.875
246.467817896389,275
244.897959183673,246.875
254.317111459969,206.25
